2018-01-29T23:34:44 , 2
2018-01-31T15:56:35 , 2
2007-02-14T09:51:29 , 219
2017-06-28T15:43:45 , 32
2016-03-24T07:07:59 , 61
2018-01-31T08:49:39 , 1
2018-01-31T15:18:25 , 2
2018-01-30T21:32:22 , 2
2018-01-30T16:04:11 , 30
2018-01-31T08:15:42 , 30
2018-01-31T15:39:15 , 2
2018-01-30T19:05:18 , 1
2018-01-31T09:28:18 , 1
2018-01-31T07:47:00 , 12
2018-01-31T06:18:55 , 3
2018-01-30T08:00:19 , 12
2018-01-31T09:51:23 , 2
2018-01-30T20:37:31 , 11
2014-07-26T15:26:22 , 199
2013-10-08T15:57:42 , 134
2018-01-31T00:00:00 , 2
2017-06-12T04:00:00 , 4
2018-01-31T14:53:05 , 1
2018-01-30T10:55:39 , 9
2018-01-30T16:22:33 , 7
2018-01-30T15:55:41 , 5
2018-01-31T07:00:00 , 1
2018-01-31T13:42:32 , 2
2018-01-31T00:00:00 , 12
2018-01-31T07:15:08 , 9
2018-01-31T08:28:44 , 3
2018-01-31T14:45:55 , 13
2018-01-31T09:20:24 , 1
2017-07-10T00:00:00 , 1
